Prompt,Answer
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Get Environment variable values"" type=""readenvironmentvariables""/>
  </figures>
  <connections>
    <connection from=""start"" to=""Get Environment variable values"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""task"" type=""task""/>
  </figures>
  <connections>
    <connection from=""start"" to=""task"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Update Variables"" type=""updatevariable""/>
    <figure name=""Update Globals"" type=""updateglobals""/>
  </figures>
  <connections>
    <connection from=""start"" to=""Update Variables"" condition=""""/>
    <connection from=""Update Variables"" to=""Update Globals"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Generate Event"" type=""generateevent""/>
  </figures>
  <connections>
    <connection from=""start"" to=""Generate Event"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""email"" type=""email""/>
    <figure name=""abortinstance"" type=""abortinstance""/>
  </figures>
  <connections>
    <connection from=""start"" to=""email"" condition=""""/>
    <connection from=""email"" to=""abortinstance"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""A"" type=""placeholder""/>
    <figure name=""B"" type=""placeholder""/>
    <figure name=""C"" type=""placeholder""/>
    <figure name=""D"" type=""placeholder""/>
    <figure name=""E"" type=""placeholder""/>
  </figures>
  <connections>
    <connection from=""D"" to=""E"" condition=""""/>
    <connection from=""C"" to=""D"" condition=""""/>
    <connection from=""B"" to=""C"" condition=""""/>
    <connection from=""A"" to=""B"" condition=""""/>
    <connection from=""start"" to=""A"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Route Form"" type=""routeform""/>
    <figure name=""Get Attachments"" type=""getfileattachments""/>
  </figures>
  <connections>
    <connection from=""Route Form"" to=""Get Attachments"" condition=""""/>
    <connection from=""start"" to=""Route Form"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Task - StartDef"" type=""task""/>
  </figures>
  <connections>
    <connection from=""start"" to=""Task - StartDef"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Update Globals"" type=""updateglobals""/>
    <figure name=""Send Email"" type=""email""/>
  </figures>
  <connections>
    <connection from=""Update Globals"" to=""Send Email"" condition=""""/>
    <connection from=""start"" to=""Update Globals"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Detect langauge"" type=""clsgoogledetectlanguage""/>
    <figure name=""Task"" type=""task""/>
    <figure name=""Translate text"" type=""clsgoogletranslate""/>
  </figures>
  <connections>
    <connection from=""Task"" to=""Translate text"" condition=""""/>
    <connection from=""Translate text"" to=""Detect langauge"" condition=""completed""/>
    <connection from=""start"" to=""Task"" condition=""""/>
    <connection from=""start"" to=""Detect langauge"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Convert data table to HTML"" type=""getdatatablehtml""/>
  </figures>
  <connections>
    <connection from=""start"" to=""Convert data table to HTML"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""clsazuremlgettext"" type=""clsazuremlgettext""/>
    <figure name=""clstesseractgettext"" type=""clstesseractgettext""/>
  </figures>
  <connections>
    <connection from=""start"" to=""clstesseractgettext"" condition=""""/>
    <connection from=""start"" to=""clsazuremlgettext"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""task"" type=""task""/>
    <figure name=""email (rejectedUserList)"" type=""email""/>
    <figure name=""email (completedByUsers)"" type=""email""/>
    <figure name=""email (routeTo)"" type=""email""/>
  </figures>
  <connections>
    <connection from=""start"" to=""task"" condition=""""/>
    <connection from=""task"" to=""email (routeTo)"" condition=""""/>
    <connection from=""task"" to=""email (completedByUsers)"" condition=""completed""/>
    <connection from=""task"" to=""email (rejectedUserList)"" condition=""rejected""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Asmx Call"" type=""callasmx""/>
  </figures>
  <connections>
    <connection from=""start"" to=""Asmx Call"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Create Folder"" type=""ftpcreatefolder""/>
    <figure name=""Upload File"" type=""ftpsendfile""/>
    <figure name=""Rename File"" type=""ftprenamefile""/>
    <figure name=""Download File"" type=""ftpgetfile""/>
    <figure name=""Rename Folder"" type=""ftprenamefolder""/>
    <figure name=""Delete File"" type=""ftpdeletefile""/>
  </figures>
  <connections>
    <connection from=""start"" to=""Create Folder"" condition=""""/>
    <connection from=""Rename Folder"" to=""Delete File"" condition=""""/>
    <connection from=""Upload File"" to=""Rename File"" condition=""""/>
    <connection from=""Create Folder"" to=""Upload File"" condition=""""/>
    <connection from=""Rename File"" to=""Download File"" condition=""""/>
    <connection from=""Download File"" to=""Rename Folder"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""updateglobals"" type=""updateglobals""/>
  </figures>
  <connections>
    <connection from=""start"" to=""updateglobals"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Execute SQL Statement"" type=""executesql""/>
  </figures>
  <connections>
    <connection from=""start"" to=""Execute SQL Statement"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Task1"" type=""task""/>
    <figure name=""Task3"" type=""task""/>
    <figure name=""Task2"" type=""task""/>
    <figure name=""Task4"" type=""task""/>
  </figures>
  <connections>
    <connection from=""Task2"" to=""Task4"" condition=""""/>
    <connection from=""Task1"" to=""Task3"" condition=""""/>
    <connection from=""start"" to=""Task2"" condition=""""/>
    <connection from=""start"" to=""Task1"" condition=""""/>
  </connections>
</processDiagram>"
Generate me a new XML,"<?xml version='1.0' encoding='utf-8'?>
<processDiagram>
  <figures>
    <figure name=""start"" type=""start""/>
    <figure name=""Task"" type=""task""/>
    <figure name=""Route Form"" type=""routeform""/>
    <figure name=""Route Form to Queue"" type=""routeformtoqueue""/>
  </figures>
  <connections>
    <connection from=""start"" to=""Task"" condition=""""/>
    <connection from=""Task"" to=""Route Form"" condition=""completed""/>
    <connection from=""Route Form"" to=""Route Form to Queue"" condition=""rejected""/>
  </connections>
</processDiagram>"
